Percentage served,Time in ms
0,13.994
1,21.994
2,31.996
3,41.997
4,50.996
5,59.998
6,71.999
7,79.994
8,90.001
9,99.003
10,104.998
11,105.997
12,105.998
13,106.000
14,106.002
15,106.043
16,106.999
17,107.010
18,107.998
19,108.014
20,108.998
21,109.000
22,109.001
23,109.002
24,109.034
25,109.998
26,109.999
27,110.001
28,110.004
29,110.998
30,111.000
31,111.002
32,111.003
33,111.986
34,111.998
35,111.999
36,112.000
37,112.001
38,112.002
39,112.004
40,112.006
41,112.997
42,112.999
43,113.001
44,113.001
45,113.003
46,113.994
47,113.999
48,114.000
49,114.002
50,114.004
51,114.998
52,115.000
53,115.001
54,115.004
55,115.992
56,115.997
57,115.999
58,116.000
59,116.001
60,116.002
61,116.003
62,116.009
63,116.998
64,117.000
65,117.002
66,117.005
67,117.998
68,118.002
69,118.996
70,119.000
71,119.996
72,120.000
73,120.996
74,121.002
75,122.003
76,123.000
77,123.999
78,124.001
79,125.000
80,126.003
81,127.002
82,127.999
83,128.004
84,128.996
85,128.999
86,129.003
87,129.998
88,130.000
89,130.004
90,130.998
91,131.000
92,131.003
93,131.996
94,132.000
95,132.002
96,132.994
97,132.999
98,133.998
99,134.001
100,135.002
