Percentage served,Time in ms
0,245.996
1,2939.005
2,4444.005
3,5727.014
4,6501.014
5,7050.013
6,7643.655
7,8197.657
8,8916.656
9,9327.017
10,9912.019
11,10321.660
12,10742.021
13,11041.663
14,11282.031
15,11361.020
16,11388.665
17,11413.024
18,11443.664
19,11467.023
20,11496.027
21,11510.025
22,11526.024
23,11534.027
24,11544.024
25,11555.021
26,11563.025
27,11574.026
28,11583.022
29,11594.024
30,11602.022
31,11610.027
32,11616.025
33,11622.023
34,11627.021
35,11636.024
36,11642.023
37,11648.664
38,11652.025
39,11661.027
40,11668.027
41,11674.021
42,11679.026
43,11687.023
44,11694.023
45,11705.026
46,11713.023
47,11727.025
48,11731.027
49,11740.020
50,11744.026
51,11756.028
52,11764.022
53,11768.027
54,11774.021
55,11777.025
56,11789.022
57,11797.016
58,11805.025
59,11814.026
60,11820.027
61,11830.028
62,11843.024
63,11848.031
64,11857.024
65,11867.665
66,11879.026
67,11891.017
68,11902.029
69,11917.021
70,11928.025
71,11944.026
72,11957.026
73,11965.024
74,11974.028
75,11988.027
76,12017.024
77,12033.024
78,12048.024
79,12080.027
80,12093.026
81,12116.026
82,12134.022
83,12151.028
84,12207.024
85,12238.029
86,12263.026
87,12318.027
88,12345.026
89,12389.028
90,12458.026
91,12551.024
92,12729.026
93,12899.029
94,12990.028
95,13103.025
96,13243.026
97,13381.023
98,13587.026
99,14229.026
100,17431.036
