Percentage served,Time in ms
0,5.997
1,14.998
2,27.993
3,39.997
4,50.993
5,62.997
6,73.999
7,86.999
8,98.002
9,108.003
10,109.999
11,110.998
12,111.002
13,112.990
14,113.001
15,113.996
16,114.001
17,114.002
18,114.994
19,114.999
20,115.001
21,115.002
22,115.005
23,115.997
24,115.999
25,116.000
26,116.001
27,116.001
28,116.002
29,116.003
30,116.009
31,116.998
32,116.999
33,117.000
34,117.001
35,117.002
36,117.003
37,117.989
38,117.998
39,117.999
40,118.000
41,118.002
42,118.008
43,118.996
44,118.998
45,118.999
46,119.000
47,119.001
48,119.002
49,119.004
50,119.923
51,119.995
52,119.999
53,120.000
54,120.001
55,120.001
56,120.003
57,120.004
58,120.994
59,120.998
60,120.999
61,121.000
62,121.001
63,121.004
64,121.010
65,121.995
66,121.998
67,121.999
68,122.000
69,122.001
70,122.003
71,122.009
72,122.998
73,122.999
74,123.000
75,123.002
76,123.003
77,123.994
78,124.000
79,124.002
80,125.001
81,125.003
82,126.000
83,126.002
84,126.999
85,127.000
86,127.003
87,127.989
88,128.001
89,128.011
90,129.002
91,129.998
92,130.000
93,130.001
94,130.988
95,131.001
96,131.996
97,132.000
98,132.003
99,133.000
100,134.002
