Percentage served,Time in ms
0,14.000
1,26.992
2,38.997
3,47.999
4,63.999
5,76.004
6,85.001
7,94.999
8,107.001
9,112.998
10,113.003
11,113.999
12,114.002
13,114.999
14,115.001
15,115.007
16,116.000
17,116.003
18,117.004
19,118.002
20,119.001
21,120.001
22,120.998
23,120.999
24,121.001
25,121.996
26,122.001
27,122.002
28,122.008
29,122.998
30,122.999
31,123.000
32,123.001
33,123.003
34,123.998
35,123.999
36,124.001
37,124.002
38,124.997
39,125.000
40,125.002
41,125.996
42,126.001
43,126.982
44,127.000
45,127.003
46,127.998
47,128.001
48,128.002
49,128.995
50,128.999
51,129.000
52,129.001
53,129.002
54,129.014
55,129.997
56,129.999
57,130.000
58,130.001
59,130.003
60,130.005
61,130.997
62,130.998
63,131.001
64,131.003
65,131.997
66,132.000
67,132.006
68,132.998
69,133.001
70,133.997
71,134.002
72,134.999
73,135.000
74,135.002
75,135.004
76,135.996
77,135.999
78,136.002
79,136.003
80,136.994
81,136.999
82,137.001
83,137.003
84,137.998
85,138.002
86,138.998
87,139.001
88,139.002
89,139.990
90,140.000
91,140.004
92,141.001
93,141.998
94,142.002
95,143.994
96,144.002
97,144.999
98,145.007
99,146.002
100,154.998
